wallet,chain,time,transfer_type,transfer_method,token_name,token_symbol,amount,amount_usd
W25,bsc,2023-01-14 2:43:28,swap_out,out,Wrapped BNB,WBNB,0.9133421847,281.51
W25,bsc,2023-01-14 2:43:28,swap_in,in,CryptoZoon,ZOON,333796.6474,248.92
W25,bsc,2023-01-14 6:50:31,swap_out,out,Wrapped BNB,WBNB,0.3278617175,100.61
W25,bsc,2023-01-14 6:50:31,swap_in,in,CryptoZoon,ZOON,119999.8732,90.32
W25,bsc,2023-01-14 8:19:59,swap_out,out,Wrapped BNB,WBNB,0.5675799623,176.40
W25,bsc,2023-01-14 8:19:59,swap_in,in,CryptoZoon,ZOON,207960.091,154.26
W25,bsc,2023-01-14 12:17:02,swap_out,out,Wrapped BNB,WBNB,0.01173331579,3.57
W25,bsc,2023-01-14 12:17:02,swap_in,in,CryptoZoon,ZOON,4302.032422,3.27
W25,bsc,2023-01-15 0:31:35,swap_out,out,Wrapped BNB,WBNB,0.005653824905,1.73
W25,bsc,2023-01-15 0:31:35,swap_in,in,CryptoZoon,ZOON,2073.023731,1.54
W25,bsc,2023-01-15 4:18:52,swap_out,out,Wrapped BNB,WBNB,0.01245275642,3.72
W25,bsc,2023-01-15 4:18:52,swap_in,in,CryptoZoon,ZOON,4566.009133,3.42
W25,bsc,2023-01-15 10:45:24,swap_in,in,Wrapped BNB,WBNB,0.06,17.75
W25,bsc,2023-01-15 10:45:24,swap_out,out,CryptoZoon,ZOON,437.7779294,0.32
W25,bsc,2023-01-15 10:45:24,swap_out,out,CryptoZoon,ZOON,21451.11854,15.90
W25,bsc,2023-01-15 15:08:13,swap_out,out,Wrapped BNB,WBNB,0.02084684515,6.28
W25,bsc,2023-01-15 15:08:13,swap_in,in,CryptoZoon,ZOON,7643.05381,5.78
W25,bsc,2023-01-15 23:36:41,swap_in,in,Wrapped BNB,WBNB,0.02988325012,9.03
W25,bsc,2023-01-15 23:36:41,swap_out,out,CryptoZoon,ZOON,10683.20808,8.09
W25,bsc,2023-01-15 23:36:41,swap_out,out,CryptoZoon,ZOON,218.0246548,0.17
W25,bsc,2023-01-16 3:04:18,swap_in,in,Wrapped BNB,WBNB,0.02478125,7.60
W25,bsc,2023-01-16 3:04:18,swap_out,out,CryptoZoon,ZOON,8858.676735,6.69
W25,bsc,2023-01-16 3:04:18,swap_out,out,CryptoZoon,ZOON,180.7893211,0.14
W25,bsc,2023-01-16 5:22:05,swap_out,out,Wrapped BNB,WBNB,0.01269790776,3.88
W25,bsc,2023-01-16 5:22:05,swap_in,in,CryptoZoon,ZOON,4655,3.49
W25,bsc,2023-01-16 12:22:26,swap_out,out,Wrapped BNB,WBNB,0.02768323852,8.26
